"","driver","race","pit_in_elapsed_time","pit_in_lap_count","pit_in_leader_lap","pit_out_elapsed_time","pit_stop_type","pit_stop_duration","laps_remaining"
"312","Austin Dillon","Daytona 500",4527.19,68,69,4588.555,"OTHER",38.0385,133
"313","Austin Dillon","Daytona 500",6219.889,101,102,6251.879,"OTHER",8.2413,100
"314","Austin Dillon","Daytona 500",7621.51,128,131,7699.309,"OTHER",54.91,73
"315","Austin Dillon","Daytona 500",7980.304,131,133,8030.206,"FOUR_WHEEL_CHANGE",25.3581,70
"316","Austin Dillon","Daytona 500",10803.304,173,175,10838.492,"OTHER",11.1106,28
"318","Austin Dillon","Daytona 500",11623.788,186,191,11674.362,"FOUR_WHEEL_CHANGE",17.0501,15
"322","Kaz Grala","Daytona 500",1733.528,35,36,1770.671,"TWO_WHEEL_CHANGE_RIGHT",12.479,166
"323","Kaz Grala","Daytona 500",2095.963,39,41,2172.373,"TWO_WHEEL_CHANGE_RIGHT",46.6127,162
"324","Kaz Grala","Daytona 500",2268.672,40,43,2318.985,"TWO_WHEEL_CHANGE_LEFT",24.1903,161
"325","Kaz Grala","Daytona 500",3099.28,51,54,3175.46,"OTHER",51.4175,150
"326","Kaz Grala","Daytona 500",6028.99,96,98,6094.687,"TWO_WHEEL_CHANGE_RIGHT",40.9893,105
"328","Kaz Grala","Daytona 500",7976.897,129,133,8034.178,"FOUR_WHEEL_CHANGE",32.9322,72
"329","Kaz Grala","Daytona 500",9733.745,152,156,9785.612,"FOUR_WHEEL_CHANGE",26.9602,49
"333","BJ McLeod","Daytona 500",1733.835,35,36,1772.48,"OTHER",14.2769,166
"334","BJ McLeod","Daytona 500",2139.65,41,42,2250.528,"FOUR_WHEEL_CHANGE",85.7512,160
"335","BJ McLeod","Daytona 500",3099.719,53,54,3191.522,"OTHER",65.4652,148
"336","BJ McLeod","Daytona 500",4473.304,68,68,4577.436,"FOUR_WHEEL_CHANGE",78.5104,133
"337","BJ McLeod","Daytona 500",6634.294,108,110,6675.052,"OTHER",15.9822,93
"339","BJ McLeod","Daytona 500",7978.235,129,133,8020.488,"FOUR_WHEEL_CHANGE",18.3178,72
"341","BJ McLeod","Daytona 500",10937.695,174,178,10977.272,"TWO_WHEEL_CHANGE_RIGHT",14.4229,27
"345","Ricky Stenhouse Jr.","Daytona 500",1849.982,38,38,1883.178,"TWO_WHEEL_CHANGE_RIGHT",10.1099,163
"346","Ricky Stenhouse Jr.","Daytona 500",2257.991,42,43,2288.288,"TWO_WHEEL_CHANGE_LEFT",6.6733,159
"347","Ricky Stenhouse Jr.","Daytona 500",4341.982,67,67,4382.993,"FOUR_WHEEL_CHANGE",17.5835,134
"348","Ricky Stenhouse Jr.","Daytona 500",6478.515,107,107,6511.849,"OTHER",8.9086,94
"349","Ricky Stenhouse Jr.","Daytona 500",7847.64,132,132,7902.148,"FOUR_WHEEL_CHANGE",30.1122,69
"350","Ricky Stenhouse Jr.","Daytona 500",9605.319,155,155,9647.73,"FOUR_WHEEL_CHANGE",16.5163,46
"351","Ricky Stenhouse Jr.","Daytona 500",9871.446,157,157,9899.161,"OTHER",3.7035,44
"355","Erik Jones","Daytona 500",1803.735,37,38,1839.934,"OTHER",10.8105,164
"356","Erik Jones","Daytona 500",2261.271,42,43,2304.389,"FOUR_WHEEL_CHANGE",20.6534,159
"357","Erik Jones","Daytona 500",2966.936,52,53,2993.65,"OTHER",3.7035,149
"358","Erik Jones","Daytona 500",4342.9,67,67,4370.036,"OTHER",3.8704,134
"359","Erik Jones","Daytona 500",6479.396,107,108,6509.686,"OTHER",5.3384,94
"360","Erik Jones","Daytona 500",7850.168,132,132,7889.789,"FOUR_WHEEL_CHANGE",16.4828,69
"361","Erik Jones","Daytona 500",9602.708,155,155,9633.141,"OTHER",5.7055,46
"362","Erik Jones","Daytona 500",11553.076,190,190,11967.484,"ONE_WHEEL_CHANGE",709.2154,11
"365","Kevin Harvick","Daytona 500",1756.622,36,37,1788.663,"TWO_WHEEL_CHANGE_RIGHT",9.2085,165
"366","Kevin Harvick","Daytona 500",2968.86,52,53,3003.987,"FOUR_WHEEL_CHANGE",12.5789,149
"367","Kevin Harvick","Daytona 500",4349.179,67,67,4378.276,"OTHER",5.2718,134
"368","Kevin Harvick","Daytona 500",6477.13,107,107,6506.86,"OTHER",6.84,94
"369","Kevin Harvick","Daytona 500",7848.745,132,132,7887.237,"FOUR_WHEEL_CHANGE",15.5819,69
"370","Kevin Harvick","Daytona 500",9604.889,155,155,9634.392,"OTHER",6.7399,46
"371","Kevin Harvick","Daytona 500",11558.214,190,190,11575.369,"FOUR_WHEEL_CHANGE",15,11
"375","Noah Gragson","Daytona 500",1803.585,37,38,1841.501,"TWO_WHEEL_CHANGE_LEFT",13.046,164
"376","Noah Gragson","Daytona 500",2264.103,42,43,2297.587,"TWO_WHEEL_CHANGE_RIGHT",10.0211,159
"377","Noah Gragson","Daytona 500",2968.465,52,53,3017.73,"FOUR_WHEEL_CHANGE",26.2596,149
"378","Noah Gragson","Daytona 500",4344.391,67,67,4388.279,"FOUR_WHEEL_CHANGE",20.3862,134
"379","Noah Gragson","Daytona 500",4610.838,69,70,4640.093,"OTHER",3.8701,132
"380","Noah Gragson","Daytona 500",6478.519,107,107,6513.765,"TWO_WHEEL_CHANGE_LEFT",8.0077,94
"381","Noah Gragson","Daytona 500",7854.716,132,132,7899.71,"TWO_WHEEL_CHANGE_RIGHT",19.8528,69
"382","Noah Gragson","Daytona 500",9603.892,155,155,9647.158,"FOUR_WHEEL_CHANGE",20.216,46
"383","Noah Gragson","Daytona 500",9871.176,157,157,9899.957,"OTHER",3.8369,44
